indicator_id,name,channel,signal_role,typical_lead,read_as,frequency,unit,series_ref,source_name,source_url,access,why_it_matters,collection
ACAD_HERD_EQUIPMENT,University capitalized R&D equipment expenditures (HERD),Academic & government,lagging-confirm,"annual, about 1 yr lag",higher = bullish,annual,USD_bn,NSF NCSES HERD,NSF NCSES,https://ncses.nsf.gov/surveys/higher-education-research-development,free,The closest public number to academic instrument spend; use for back-testing. GAP: not yet collected.,curated
ACAD_HERD_TOTAL,Higher-education R&D expenditures (HERD survey),Academic & government,lagging-confirm,"annual, about 1 yr lag",higher = bullish,annual,USD_bn,NSF NCSES HERD,NSF NCSES,https://ncses.nsf.gov/surveys/higher-education-research-development,free,Ground truth for university R&D. GAP: not yet collected.,curated
ACAD_NIH_APPROPS_STATUS,NIH appropriations status: event log,Academic & government,leading,2-6 qtrs,context,event,text,"Congress.gov, CRS",Congressional Research Service,https://www.congress.gov/crs-product/R49353,free,Full-year bill vs continuing resolution: CRs delay new awards and push spending late in the year.,curated
ACAD_NIH_AWARD_DOLLAR_PACE,"NIH award dollars vs baseline, year to date (pct)",Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),pct,AAU RePORTER analysis,AAU,https://www.aau.edu/newsroom/leading-research-universities-report/data-show-dramatic-slowdown-nih-grantmaking,free,Dollar pace vs count pace shows whether multiyear funding is concentrating money.,curated
ACAD_NIH_AWARD_PACE_VS_FY24,NIH competitive awards (all mechanisms) vs same point in FY2024 (pct),Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),pct,AAMC tracker,AAMC,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,free,Same idea against a single-year baseline.,curated
ACAD_NIH_COMPETING_AWARDS_YTD,"NIH new and competing grants awarded, fiscal year to date (count)",Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),count,Science / RePORTER,Science (AAAS),https://www.science.org/content/article/nih-likely-award-fewer-grants-it-races-spend-2026-budget,free,Absolute YTD count.,curated
ACAD_NIH_COMPETING_RPG_AWARDS,"NIH competing research project grants awarded (count, all RPGs)",Academic & government,leading,1-4 qtrs,higher = bullish,annual,count,NIH Data Book / Extramural Nexus 'By the Numbers',NIH,https://report.nih.gov/nihdatabook/,free,New and renewed projects buy start-up equipment; counts matter more than dollars when multiyear funding concentrates money.,curated
ACAD_NIH_COMPETING_RPG_PACE,NIH competitive RPG awards vs same point in FY2024 (pct),Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),pct,AAMC tracker,AAMC,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,free,RPG-only version of the pace metric.,curated
ACAD_NIH_EXTRAMURAL_OBLIGATED_YTD,"NIH extramural grant dollars obligated, fiscal year to date",Academic & government,leading,0-2 qtrs,higher = bullish,irregular (trackers),USD_bn,AAMC tracker,AAMC,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,free,Cash actually reaching universities; a late-year surge implies back-loaded purchasing.,curated
ACAD_NIH_GRANTS_VS_FY2024,NIH grants awarded vs same point in FY2024 (count difference),Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),count,AAMC tracker,AAMC,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,free,Volume gap in grants (all types).,curated
