indicator_id,period,period_end,value,unit,value_text,source_name,source_url,notes
ACAD_NIH_APPROPS_STATUS,2026-02,2026-02-03,,text,"FY2026 was full-year regular appropriations, not a full-year CR: Consolidated Appropriations Act 2026 (P.L. 119-75; LHHS in Div. B) plus P.L. 119-74. Final bills released 2026-01-21; Congress approved LHHS around early Feb 2026",CRS R43341 / UW Federal Relations / AAI,https://www.washington.edu/federalrelations/2026/01/21/final-fy26-appropriations-bills-released,AAI statement on congressional approval dated 2026-02-03: https://news.aai.org/2026/02/03/statement-on-approval-fy2026-laborhhs-bill/ ; enacted funding kept NIH's existing structure (the proposed restructuring was not adopted); period_end = congressional approval date per AAI statement
ACAD_NIH_APPROPS_STATUS,2026-09,2026-09-02,,text,FY2027 status: CR (H.R. 6500 / P.L. 119-103) signed 2026-09-02 covers Oct 1 to Dec 11 2026 (72 days) for all 12 bills; no full-year FY27 LHHS enacted,CRS R49353,https://www.congress.gov/crs-product/R49353,Search summary (likely CRFB Appropriations Watch 2026-09-03) said only 3 FY27 bills had passed the House and none had been reported by Senate Appropriations; low confidence on the Senate part
ACAD_NIH_AWARD_DOLLAR_PACE,FY2026-YTD-Feb,2026-02-28,-54,pct,,AAU,https://www.aau.edu/newsroom/leading-research-universities-report/data-show-dramatic-slowdown-nih-grantmaking,Dollar value of awards vs the FY21-24 average for the same period
ACAD_NIH_AWARD_PACE_VS_FY24,FY2026-YTD-Jul,2026-07-31,-18,pct,,AAMC Tracking NIH Awards in FY 2026,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,Competitive awards (all mechanisms) vs the same point in FY2024
ACAD_NIH_COMPETING_AWARDS_YTD,FY2026-YTD-Mar,2026-03-20,1900,count,"about 1,900 new and competing grants from Oct to late Mar, under half the normal pace; about $1B behind the usual timeline",Granted AI (summarizing Science),https://grantedai.com/blog/nih-fy2026-year-end-obligation-cliff-september-30-billion-unspent-races-to-spend-grant-strategy,Secondary source; Science: https://www.science.org/content/article/nih-likely-award-fewer-grants-it-races-spend-2026-budget
ACAD_NIH_COMPETING_RPG_AWARDS,FY2019,2019-09-30,11035,count,,NIH Extramural Nexus FY2020 By the Numbers,https://nexus.od.nih.gov/all/2021/04/21/fy-2020-by-the-numbers-extramural-investments-in-research,"54,903 competing RPG applications"
ACAD_NIH_COMPETING_RPG_AWARDS,FY2020,2020-09-30,11332,count,,NIH Extramural Nexus FY2020 By the Numbers,https://nexus.od.nih.gov/all/2021/04/21/fy-2020-by-the-numbers-extramural-investments-in-research,"55,038 applications; RPG spending $22.6B (+4.9%)"
ACAD_NIH_COMPETING_RPG_AWARDS,FY2021,2021-09-30,11229,count,,NIH Extramural Nexus FY2021 By the Numbers,https://nexus.od.nih.gov/all/2022/03/07/fy-2021-by-the-numbers-extramural-grant-investments-in-research,"58,872 applications"
ACAD_NIH_COMPETING_RPG_AWARDS,FY2022,2022-09-30,11311,count,,NIH Extramural Nexus FY2022 By the Numbers,https://nexus.od.nih.gov/all/2023/03/01/fy-2022-by-the-numbers-extramural-grant-investments-in-research,"54,571 applications (4,301 fewer than FY2021)"
ACAD_NIH_COMPETING_RPG_AWARDS,FY2023,2023-09-30,11052,count,,NIH Extramural Nexus FY2023 By the Numbers,https://nexus.od.nih.gov/all/2024/02/21/fy-2023-by-the-numbers-extramural-grant-investments-in-research,"The summary also gave 54,571 applications, which repeats the FY2022 figure and doesn't match 21.3% (it implies about 51.9k), so the application count is left out; verify"
