channel,indicator_id,name,period,period_end,value,unit,value_text,prev_period,prev_value,change_vs_prev,rows_same_period,read_as,source_url
Academic & government,ACAD_NIH_APPROPS_STATUS,NIH appropriations status: event log,2026-09,2026-09-02,,text,FY2027 status: CR (H.R. 6500 / P.L. 119-103) signed 2026-09-02 covers Oct 1 to Dec 11 2026 (72 days) for all 12 bills; no full-year FY27 LHHS enacted,,,,1,context,https://www.congress.gov/crs-product/R49353
Academic & government,ACAD_NIH_AWARD_DOLLAR_PACE,"NIH award dollars vs baseline, year to date (pct)",FY2026-YTD-Feb,2026-02-28,-54,pct,,,,,1,higher = bullish,https://www.aau.edu/newsroom/leading-research-universities-report/data-show-dramatic-slowdown-nih-grantmaking
Academic & government,ACAD_NIH_AWARD_PACE_VS_FY24,NIH competitive awards (all mechanisms) vs same point in FY2024 (pct),FY2026-YTD-Jul,2026-07-31,-18,pct,,,,,1,higher = bullish,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1
Academic & government,ACAD_NIH_COMPETING_AWARDS_YTD,"NIH new and competing grants awarded, fiscal year to date (count)",FY2026-YTD-Mar,2026-03-20,1900,count,"about 1,900 new and competing grants from Oct to late Mar, under half the normal pace; about $1B behind the usual timeline",,,,1,higher = bullish,https://grantedai.com/blog/nih-fy2026-year-end-obligation-cliff-september-30-billion-unspent-races-to-spend-grant-strategy
Academic & government,ACAD_NIH_COMPETING_RPG_AWARDS,"NIH competing research project grants awarded (count, all RPGs)",FY2025,2025-09-30,,text,Fewer new awards than FY2024 and higher average cost per award (more forward-funded); exact competing RPG count not surfaced,,,,1,higher = bullish,https://www.grants.nih.gov/news-events/nih-extramural-nexus-news/2026/03/fiscal-year-2025-by-the-numbers-extramural-grant-investments-in-research
Academic & government,ACAD_NIH_COMPETING_RPG_PACE,NIH competitive RPG awards vs same point in FY2024 (pct),FY2026-YTD-Jul,2026-07-31,-8,pct,,,,,1,higher = bullish,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1
Academic & government,ACAD_NIH_EXTRAMURAL_OBLIGATED_YTD,"NIH extramural grant dollars obligated, fiscal year to date",FY2026-YTD-Jul,2026-07-31,23.3,USD_bn,,FY2026-YTD-Mar,5.8,17.5,1,higher = bullish,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1
Academic & government,ACAD_NIH_GRANTS_VS_FY2024,NIH grants awarded vs same point in FY2024 (count difference),FY2026-YTD-Jul,2026-07-31,-10000,count,,,,,1,higher = bullish,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1
Academic & government,ACAD_NIH_GRANT_COUNT_VS_HISTORY,NIH grants funded in a fiscal year vs prior-year norms (pct),FY2025,2025-09-30,-11.6,pct,,,,,2,higher = bullish,https://www.statnews.com/2026/04/30/nih-grant-funding-national-stat-survey-impact-labs-careers/
Academic & government,ACAD_NIH_HOUSE_MARK,NIH funding in House Appropriations LHHS bill,FY2027,2027-09-30,47.3,USD_bn,,FY2026,46.9,0.4,2,higher = bullish,https://hhs.com/news-detail/appropriations-update-8
